trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
349,12,12,0,3210.0661,11830.3304,131,20,0.735973,7,2,certificate
350,11,11,0,3293.0804,12355.4018,128,21,0.762512,7,2,certificate
351,13,13,0,3671.1624,13880.8119,139,24,0.921126,7,2,certificate
352,16,16,0,3834.7120,15928.5598,96,24,1.549054,7,2,certificate
353,15,15,0,3466.4004,13097.0019,129,26,0.758743,7,2,certificate
354,14,14,0,3739.7901,14663.9505,124,26,1.039462,7,2,certificate
355,15,15,0,3538.9687,13699.8436,121,26,0.827795,7,2,certificate
356,15,15,0,3726.9126,14599.5629,123,26,1.106884,7,2,certificate
357,16,16,0,3785.3990,15516.9949,101,27,1.585010,7,2,certificate
358,16,16,0,3660.3369,14236.6845,122,24,0.788097,7,2,certificate
359,12,12,0,4060.6208,16323.1041,123,25,0.618624,7,3,certificate
360,13,13,0,3151.1511,11520.7557,131,21,0.642703,7,2,certificate
361,12,12,0,3435.9344,13039.6719,128,28,0.891174,7,2,certificate
362,14,14,0,3462.2275,13436.1376,118,25,1.262984,7,2,certificate
363,10,10,0,2957.0603,10920.3017,121,18,0.707081,7,2,certificate
364,10,10,0,3128.8787,11474.3935,131,20,0.721954,7,2,certificate
365,14,14,0,3167.2229,12351.1144,105,22,0.701405,7,2,certificate
366,16,16,0,3575.0039,14275.0194,107,26,0.775241,7,2,certificate
367,11,11,0,3291.4979,12702.4895,117,20,0.566428,7,2,certificate
368,16,16,0,3389.9618,13129.8090,114,22,0.574480,7,2,certificate
369,10,10,0,3430.7100,13038.5498,129,22,0.585080,7,3,certificate
370,16,16,0,3832.4644,15332.3218,115,27,1.402935,7,2,certificate
371,16,16,0,3526.3547,13556.7735,123,29,0.780987,7,2,certificate
372,13,13,0,3844.9887,14984.9437,131,27,0.884552,7,2,certificate
373,16,16,0,4163.5620,16947.8098,117,30,1.283872,7,2,certificate
