trial,n_sources,n_dir,cleared,dir_cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,final_mean_mass,station_silent,probe_silent,wall_s,left
188,16,11,16,11,0,7112.77,26613.8,287,61,61,17,certificate,0.00000,1,0,39.903,
189,13,6,13,6,0,7300.28,25151.4,368,57,57,19,epsilon,0.00256,0,0,72.118,
190,14,6,14,6,0,8201.61,28938.0,393,82,82,19,epsilon,0.00252,0,0,55.974,
191,15,4,15,4,0,7148.70,24408.5,366,62,62,19,epsilon,0.00256,1,0,41.605,
192,11,3,11,3,0,5911.15,20205.8,303,42,42,19,epsilon,0.00254,0,0,20.849,
193,13,4,13,4,0,6226.94,21739.7,303,47,47,19,epsilon,0.00256,0,0,14.896,
194,11,4,11,4,0,6386.96,22409.8,310,37,37,19,epsilon,0.00256,0,0,9.772,
195,10,7,10,7,0,6817.26,24481.3,313,49,49,19,epsilon,0.00250,0,0,12.447,
196,12,5,12,5,0,6071.99,21949.9,271,42,42,19,epsilon,0.00256,0,0,9.835,
197,10,3,10,3,0,6318.66,22328.3,301,47,47,19,epsilon,0.00253,0,0,13.402,
198,13,7,13,7,0,7091.50,26507.5,291,64,64,19,epsilon,0.00256,0,0,17.278,
199,14,10,14,10,0,6066.38,22656.9,245,39,39,19,epsilon,0.00251,0,0,8.628,
