trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
536,12,12,0,3332.8298,12559.1488,127,19,0.283608,7,2,7,6,certificate
537,12,12,0,4744.0390,19720.1949,124,23,0.344175,7,3,7,6,certificate
538,13,13,0,3319.9775,12349.8876,131,23,0.404135,7,2,7,6,certificate
539,13,13,0,3405.2020,13316.0098,114,23,0.352114,7,2,7,6,certificate
540,16,16,0,3834.0466,15545.2331,108,25,0.323470,7,2,6,5,certificate
541,14,14,0,3598.6419,14318.2093,111,22,0.339928,7,2,7,6,certificate
542,16,16,0,3711.1216,14365.6078,127,27,0.392309,7,2,6,5,certificate
543,16,16,0,3079.9303,11684.6517,111,23,0.244734,7,2,6,5,certificate
544,12,12,0,3334.4235,12797.1175,120,21,0.323990,7,2,7,6,certificate
545,12,12,0,3432.9322,13309.6612,119,24,0.393393,7,2,7,6,certificate
546,13,13,0,3617.4780,14062.3899,124,24,0.326536,7,2,7,6,certificate
547,14,14,0,3080.2169,11216.0847,128,23,0.321123,7,2,7,6,certificate
548,10,10,0,3522.7365,13213.6823,139,20,0.313313,7,4,7,6,certificate
549,12,12,0,3525.4474,13832.2368,117,22,0.435680,7,2,7,6,certificate
550,14,14,0,3515.6096,13703.0480,118,22,0.249982,7,2,7,6,certificate
551,16,16,0,3617.4445,14027.2225,123,25,0.443307,7,2,7,6,certificate
552,11,11,0,2911.3384,10631.6921,122,21,0.362937,7,2,7,6,certificate
553,12,12,0,3911.9011,15254.5054,134,24,0.337596,7,2,7,6,certificate
554,13,13,0,3620.8868,14239.4340,118,23,0.354214,7,2,7,6,certificate
555,13,13,0,3835.1123,15365.5616,117,22,0.293699,7,2,7,6,certificate
556,12,12,0,3385.6127,12923.0637,124,19,0.281771,7,2,7,6,certificate
557,16,16,0,4397.1898,18015.9492,120,27,0.346033,7,2,7,6,certificate
558,11,11,0,2970.1337,11285.6683,110,18,0.352141,7,2,7,6,certificate
559,10,10,0,2583.9694,9254.8470,114,16,0.246116,7,2,7,6,certificate
560,12,12,0,2624.0118,9585.0591,108,21,0.238025,7,2,7,6,certificate
561,16,16,0,3662.3750,14561.8750,112,29,0.453727,7,2,7,6,certificate
562,15,15,0,3454.2326,13206.1632,123,23,0.267294,7,2,7,6,certificate
563,11,11,0,3505.7485,13633.7425,121,19,0.334262,7,2,7,6,certificate
564,10,10,0,3080.9992,11599.9958,119,18,0.290689,7,3,7,6,certificate
565,12,12,0,2999.7947,11183.9733,118,23,0.338190,7,2,7,6,certificate
566,11,11,0,3214.6013,11788.0065,134,21,0.306995,7,2,7,6,certificate
567,14,14,0,4032.9441,16139.7207,123,26,0.343150,7,2,7,6,certificate
568,14,14,0,3663.3150,14536.5749,115,23,0.296538,7,2,7,6,certificate
569,14,14,0,3634.9405,14239.7025,120,25,0.427184,7,2,7,6,certificate
570,12,12,0,3539.1115,13835.5577,119,22,0.382160,7,2,7,6,certificate
571,16,16,0,3576.9013,14434.5066,102,24,0.303466,7,2,5,4,certificate
572,13,13,0,2944.2482,10721.2411,123,21,0.277659,7,2,7,6,certificate
573,11,11,0,3327.2628,12831.3142,118,21,0.373647,7,2,7,6,certificate
574,10,10,0,3393.2701,13311.3505,114,18,0.333470,7,2,7,6,certificate
575,13,13,0,3286.4427,12952.2137,106,27,0.421242,7,2,7,6,certificate
576,10,10,0,2992.9719,11064.8596,122,19,0.297205,7,3,7,6,certificate
577,16,16,0,3405.7437,13028.7187,121,25,0.336788,7,2,6,5,certificate
578,14,14,0,2969.9328,11219.6641,110,24,0.318532,7,2,7,6,certificate
579,16,16,0,4233.9160,16659.5801,138,28,0.359250,7,2,7,6,certificate
580,16,16,0,3744.0856,15055.4278,110,23,0.297976,7,2,5,4,certificate
581,13,13,0,3109.0293,11390.1464,128,20,0.456023,7,2,7,6,certificate
582,13,13,0,3494.8150,13739.0751,114,24,0.363185,7,2,7,6,certificate
583,13,13,0,3123.9156,11689.5779,120,21,0.367099,7,2,7,6,certificate
584,14,14,0,3769.1029,15180.5146,111,23,0.327073,7,2,7,6,certificate
585,10,10,0,3007.2100,11286.0501,117,19,0.301965,7,2,7,6,certificate
586,16,16,0,3600.5612,14072.8061,118,25,0.379872,7,2,7,6,certificate
587,15,15,0,3837.1555,15225.7776,120,25,0.393927,7,2,7,6,certificate
588,16,16,0,3188.6816,12158.4079,113,24,0.308547,7,2,6,5,certificate
589,12,12,0,3338.1730,13035.8650,112,20,0.352066,7,2,7,6,certificate
590,12,12,0,3418.1281,13410.6403,113,22,0.353700,7,2,7,6,certificate
591,13,13,0,3557.1574,13400.7871,136,24,0.369766,7,2,7,6,certificate
592,13,13,0,3370.7686,13178.8430,112,23,0.423171,7,2,7,6,certificate
593,12,12,0,3662.2117,14281.0586,125,20,0.327151,7,3,7,6,certificate
594,11,11,0,3653.5161,14162.5807,128,17,0.289845,7,3,7,6,certificate
595,13,13,0,3297.8036,12909.0178,109,19,0.284612,7,2,7,6,certificate
596,14,14,0,3291.2884,12701.4419,114,21,0.260693,7,2,7,6,certificate
597,14,14,0,3193.7828,12178.9138,115,24,0.345173,7,2,7,6,certificate
598,11,11,0,3345.6081,12103.0405,145,22,0.348916,7,2,7,6,certificate
599,11,11,0,3609.9426,14184.7131,120,17,0.246861,7,3,7,6,certificate
600,13,13,0,2943.7546,11318.7731,103,20,0.252483,7,2,7,6,certificate
601,10,10,0,2730.2544,10116.2718,110,18,0.279846,7,2,7,6,certificate
602,15,15,0,4000.0757,16050.3787,120,25,0.375349,7,2,7,6,certificate
603,15,15,0,3157.9934,12064.9669,112,22,0.285778,7,2,7,6,certificate
604,14,14,0,3387.9934,12984.9672,121,22,0.302095,7,2,7,6,certificate
605,15,15,0,3284.3961,12571.9806,116,23,0.271557,7,2,7,6,certificate
606,13,13,0,3471.3688,13246.8439,127,23,0.345203,7,2,7,6,certificate
607,13,13,0,3074.2461,11521.2307,118,22,0.388457,7,2,7,6,certificate
608,13,13,0,3570.4132,13862.0661,123,21,0.321130,7,3,7,6,certificate
609,15,15,0,3592.2245,13996.1227,120,25,0.318503,7,2,7,6,certificate
610,13,13,0,4118.7002,16498.5010,126,21,0.238990,7,3,7,6,certificate
611,10,10,0,3199.9731,12314.8655,115,18,0.335335,7,3,7,6,certificate
612,11,11,0,2633.8452,9389.2258,117,21,0.305131,7,2,7,6,certificate
613,13,13,0,3212.0766,11850.3828,130,24,0.342672,7,3,7,6,certificate
614,14,14,0,3911.3884,15586.9420,121,24,0.318732,7,2,7,6,certificate
615,10,10,0,3534.2756,13666.3781,126,19,0.328984,7,2,7,6,certificate
616,12,12,0,3570.9504,13809.7521,125,19,0.299486,7,2,7,6,certificate
617,10,10,0,3422.5119,13187.5597,123,20,0.310504,7,2,7,6,certificate
618,10,10,0,3270.2270,12511.1351,120,16,0.238026,7,3,7,6,certificate
619,12,12,0,2951.8987,10989.4936,116,19,0.286523,7,2,7,6,certificate
620,10,10,0,3156.6525,11698.2626,128,19,0.320783,7,2,7,6,certificate
621,15,15,0,4417.3637,17971.8185,125,23,0.351089,7,2,7,6,certificate
622,15,15,0,3583.8402,14294.2010,109,25,0.336505,7,2,7,6,certificate
623,16,16,0,3450.8606,13384.3031,116,24,0.287081,7,2,6,5,certificate
624,12,12,0,3933.4793,15552.3967,128,21,0.361646,7,2,7,6,certificate
625,13,13,0,3181.8770,12084.3852,117,20,0.316418,7,2,7,6,certificate
626,12,12,0,3601.7041,14273.5207,115,22,0.369953,7,2,7,6,certificate
627,14,14,0,4012.4776,15862.3882,129,28,0.412918,7,2,7,6,certificate
628,16,16,0,3793.7296,14988.6479,120,23,0.306775,7,2,7,6,certificate
629,10,10,0,2890.9679,10649.8393,119,20,0.377188,7,2,7,6,certificate
630,14,14,0,3197.1848,12495.9240,105,22,0.300967,7,2,7,6,certificate
631,11,11,0,2853.0064,10555.0320,115,19,0.294450,7,2,7,6,certificate
632,11,11,0,3378.2953,13031.4764,120,20,0.290747,7,2,7,6,certificate
633,15,15,0,3692.2831,14671.4153,113,25,0.349421,7,2,7,6,certificate
634,14,14,0,3950.6103,15938.0517,116,23,0.295081,7,2,7,6,certificate
635,10,10,0,3593.2860,14061.4301,122,19,0.297473,7,2,7,6,certificate
636,12,12,0,3625.3341,14366.6706,116,22,0.306741,7,2,7,6,certificate
637,10,10,0,3573.0254,13845.1272,126,20,0.304876,7,2,7,6,certificate
638,16,16,0,3918.0479,15550.2395,122,24,0.308783,7,2,7,6,certificate
639,16,16,0,3168.1739,12000.8695,115,25,0.367613,7,2,7,6,certificate
640,15,15,0,3611.1834,14280.9170,114,23,0.303341,7,2,7,6,certificate
641,13,13,0,2970.3657,10696.8287,128,21,0.310353,7,2,7,6,certificate
642,12,12,0,3546.9814,13764.9070,123,20,0.338118,7,2,7,6,certificate
643,11,11,0,3112.6792,11848.3959,115,19,0.362406,7,2,7,6,certificate
644,15,15,0,3549.3887,13956.9435,114,22,0.454959,7,2,7,6,certificate
