trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
400,16,16,0,3962.5361,16102.6807,111,28,0.994879,7,2,certificate
401,14,14,0,3401.0016,13660.0080,100,23,0.685556,7,2,certificate
402,10,10,0,3822.9014,15144.5069,125,20,0.517428,7,2,certificate
403,11,11,0,3749.8405,14209.2025,143,21,0.626039,7,2,certificate
404,10,10,0,3079.6196,11418.0979,125,19,0.569742,7,2,certificate
405,14,14,0,3148.9035,11964.5177,115,23,0.772180,7,2,certificate
406,16,16,0,3895.5306,15757.6532,111,27,0.489698,7,2,certificate
407,10,10,0,2872.0725,10430.3623,123,20,0.641305,7,2,certificate
408,13,13,0,3809.4960,15017.4802,124,24,0.719258,7,2,certificate
409,14,14,0,3218.4286,12177.1431,119,25,1.100662,7,2,certificate
410,11,11,0,3432.9683,12904.8415,133,22,0.717336,7,3,certificate
411,15,15,0,3997.1062,15825.5311,127,26,0.551528,7,2,certificate
412,15,15,0,3135.6798,11503.3988,127,25,0.644268,7,2,certificate
413,13,13,0,3656.5286,14612.6429,112,26,0.659821,7,2,certificate
414,11,11,0,3092.7524,11603.7621,120,20,0.628132,7,2,certificate
415,16,16,0,3871.2394,15621.1972,112,24,0.949977,7,2,certificate
416,14,14,0,3801.9093,15059.5466,121,24,1.501573,7,2,certificate
417,14,14,0,3491.7794,13503.8970,121,27,0.815658,7,2,certificate
418,10,10,0,3608.7077,13923.5383,130,21,0.570254,7,3,certificate
419,15,15,0,3755.4678,14702.3388,124,25,0.592891,7,2,certificate
420,10,10,0,2799.3130,10301.5650,115,19,0.561672,7,2,certificate
421,11,11,0,3592.0860,14225.4300,116,22,0.836380,7,2,certificate
422,13,13,0,3449.9045,13334.5225,120,23,0.531127,7,2,certificate
423,14,14,0,3710.3527,14581.7637,121,28,0.797786,7,2,certificate
424,15,15,0,2984.4105,11402.0524,105,25,0.620053,7,2,certificate
425,13,13,0,3256.3739,12666.8695,110,24,0.677109,7,3,certificate
426,10,10,0,3190.7150,12058.5748,122,19,0.708552,7,2,certificate
427,13,13,0,3435.1508,13280.7542,120,23,1.252016,7,2,certificate
428,15,15,0,3327.5990,12707.9952,119,28,0.907712,7,2,certificate
429,11,11,0,3364.7581,12988.7905,119,22,0.913780,7,3,certificate
430,16,16,0,3958.9711,16114.8557,111,35,1.374502,7,2,certificate
431,16,16,0,3674.5370,14507.6849,116,30,0.944406,7,2,certificate
432,10,10,0,2948.5098,10777.5491,124,23,0.745475,7,2,certificate
433,14,14,0,4255.9440,17524.7198,114,24,0.673705,7,2,certificate
434,15,15,0,3435.4009,13382.0043,114,26,0.964133,7,2,certificate
435,14,14,0,3609.9504,14119.7519,120,28,0.777448,7,2,certificate
436,11,11,0,3187.7313,12308.6564,112,21,0.717456,7,2,certificate
437,14,14,0,2827.3618,10556.8089,108,22,1.485463,7,2,certificate
438,14,14,0,3781.5264,15112.6319,115,25,0.881399,7,2,certificate
439,16,16,0,3785.7206,14918.6028,121,26,0.654491,7,2,certificate
440,15,15,0,3514.3786,13826.8928,113,27,0.719188,7,2,certificate
441,13,13,0,3421.7756,13073.8778,124,22,0.617314,7,2,certificate
442,13,13,0,3290.7486,12948.7428,107,22,1.801691,7,2,certificate
443,16,16,0,3700.2124,15176.0621,98,27,0.703411,7,2,certificate
444,16,16,0,3820.3851,15591.9254,104,28,1.171558,7,2,certificate
445,12,12,0,3088.1107,11460.5533,123,20,0.555829,7,2,certificate
446,11,11,0,3066.6569,11563.2847,117,21,0.695268,7,2,certificate
447,10,10,0,3377.3884,12836.9419,127,21,0.747297,7,2,certificate
448,11,11,0,3033.2825,11416.4123,116,21,1.216459,7,2,certificate
449,10,10,0,3579.2044,14141.0221,117,18,0.427223,7,3,certificate
450,10,10,0,3639.3625,14126.8125,128,25,0.855973,7,2,certificate
451,12,12,0,3602.5406,14242.7029,116,22,0.540923,7,2,certificate
452,10,10,0,3726.0105,14755.0524,121,21,0.619996,7,2,certificate
453,10,10,0,3384.1593,12870.7966,127,22,0.928740,7,2,certificate
454,10,10,0,3387.0387,12755.1937,131,19,0.626200,7,2,certificate
455,15,15,0,3340.4702,12977.3512,112,27,1.136185,7,2,certificate
456,11,11,0,2816.3379,10341.6894,116,17,0.567444,7,2,certificate
457,13,13,0,3508.8048,13714.0241,117,22,0.508497,7,2,certificate
458,11,11,0,3798.3206,14881.6031,128,21,0.611920,7,2,certificate
459,16,16,0,3724.8620,14994.3101,108,27,2.213784,7,2,certificate
460,15,15,0,3690.4401,14707.2004,113,25,0.748913,7,2,certificate
461,14,14,0,3756.8780,15259.3900,106,23,0.489231,7,2,certificate
462,11,11,0,3608.9030,13934.5148,128,22,0.599448,7,2,certificate
463,13,13,0,3414.3937,12946.9683,127,22,0.567361,7,2,certificate
464,13,13,0,3388.0056,13270.0281,112,22,0.725613,7,2,certificate
465,16,16,0,3063.0697,11375.3487,118,24,0.614340,7,2,certificate
466,15,15,0,3351.0106,12985.0530,114,22,0.718130,7,2,certificate
467,15,15,0,3219.1662,12350.8308,113,23,0.887211,7,3,certificate
468,16,16,0,3941.1256,15755.6279,119,27,1.042292,7,2,certificate
469,14,14,0,3855.2060,15066.0302,129,28,0.757963,7,2,certificate
470,12,12,0,3501.3631,13696.8156,118,24,0.943954,7,2,certificate
471,16,16,0,3860.8740,15564.3702,112,24,0.496873,7,3,certificate
472,12,12,0,3842.2891,15406.4456,117,25,0.630836,7,2,certificate
473,10,10,0,2850.9504,10299.7519,124,19,0.586157,7,2,certificate
474,11,11,0,3302.0219,12490.1093,125,20,0.759584,7,2,certificate
475,14,14,0,3884.6732,15093.3660,133,28,0.702939,7,2,certificate
476,11,11,0,3401.3671,12911.8354,128,23,0.757465,7,3,certificate
477,11,11,0,3633.3863,14486.9315,114,24,0.738659,7,2,certificate
478,16,16,0,3247.7074,12498.5370,112,25,0.718077,7,2,certificate
479,11,11,0,3020.9754,11124.8770,124,18,0.623205,7,2,certificate
