trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear
1396,15,15,0,4083.9699,14974.8493,169,33,1.660863,6,2
1397,16,16,0,3829.7835,14438.9174,144,29,1.066264,7,2
1398,11,11,0,3368.5088,11997.5441,153,25,0.804889,7,2
1399,12,12,0,3478.9824,12664.9120,148,23,0.757195,6,2
1400,12,12,0,3426.3607,12471.8033,145,22,0.918881,7,2
1401,12,12,0,4202.6535,16428.2674,144,30,1.037737,7,2
1402,11,11,0,3898.3735,14841.8675,146,28,1.181453,6,2
1403,11,11,0,3311.7217,11768.6087,151,21,0.761739,7,3
1404,15,15,0,3891.6272,15063.1359,135,26,2.004727,7,2
1405,10,10,0,3611.3797,13226.8984,153,22,0.945431,7,2
1406,10,10,0,3934.8102,14324.0511,171,27,0.763888,7,2
1407,12,12,0,3831.6624,13668.3119,173,31,2.635736,7,2
1408,14,14,0,4270.2866,15596.4329,182,31,2.678261,7,2
1409,15,15,0,3978.2851,13501.4256,201,31,1.833953,7,2
1410,16,16,0,4399.6534,17328.2670,143,29,2.063635,7,2
1411,16,16,0,3573.0879,12380.4394,169,26,0.796535,7,2
1412,11,11,0,3523.2326,13071.1628,143,22,0.969652,7,2
1413,11,11,0,3404.1512,12730.7562,134,18,1.602841,7,3
1414,13,13,0,3575.7533,13098.7667,149,26,2.371376,7,2
1415,15,15,0,3883.5702,13787.8508,176,27,2.604490,7,2
1416,12,12,0,3493.3105,13006.5523,139,23,2.951590,7,2
1417,10,10,0,2985.6299,11013.1496,123,23,2.525160,5,2
1418,15,15,0,3930.0004,14565.0022,158,27,1.748661,7,2
1419,14,14,0,3304.0707,11120.3533,169,28,1.157896,6,2
1420,14,14,0,3714.9694,13899.8472,145,29,1.660958,6,2
1421,11,11,0,3643.8184,13604.0921,145,22,0.641467,7,3
1422,16,16,0,4251.0663,16515.3316,144,29,3.314234,7,2
1423,14,14,0,4266.1534,15570.7672,182,34,1.908420,7,2
1424,12,12,0,3703.4129,13682.0643,152,25,1.023048,7,2
1425,14,14,0,4547.2058,18176.0289,141,29,0.896765,7,2
1426,16,16,0,4106.7327,15398.6636,158,28,1.366372,7,2
1427,15,15,0,3999.8200,15009.0998,155,28,2.455083,7,2
1428,11,11,0,3385.0723,12610.3617,135,24,1.408951,7,2
1429,10,10,0,3512.8148,13044.0740,143,22,1.620373,7,2
1430,16,16,0,4209.4605,16657.3023,134,36,2.957532,7,2
1431,15,15,0,3804.8766,13379.3831,176,31,1.267893,7,2
1432,14,14,0,3555.6797,13053.3983,147,29,1.585595,7,2
1433,12,12,0,3694.3837,13061.9185,171,29,2.433025,7,2
1434,15,15,0,3567.0493,12435.2464,168,30,1.955187,7,2
