trial,n_sources,n_dir,cleared,dir_cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,final_mean_mass,station_silent,probe_silent,wall_s,left
560,12,6,12,6,0,7037.60,26073.0,296,60,60,19,epsilon,0.00256,0,0,28.600,
561,16,7,16,7,0,6065.74,22378.7,253,51,51,15,certificate,0.00000,2,0,16.765,
562,15,9,15,9,0,7147.60,26288.0,303,59,59,19,epsilon,0.00256,2,0,32.081,
563,11,4,11,4,0,6736.95,23704.7,324,48,48,19,epsilon,0.00250,1,0,18.800,
564,10,6,10,6,0,6941.39,24662.0,327,44,44,19,epsilon,0.00253,0,0,21.547,
565,12,7,12,7,0,6041.09,21640.5,276,39,39,19,epsilon,0.00253,0,0,8.607,
566,11,6,11,6,0,6461.86,22669.3,313,49,49,19,epsilon,0.00248,0,0,22.684,
567,14,6,14,6,0,6558.01,23840.1,288,54,54,19,epsilon,0.00256,1,0,25.365,
568,14,7,14,7,0,6922.82,25404.1,297,49,49,19,epsilon,0.00248,2,0,17.599,
569,14,7,14,7,0,7184.85,27394.2,275,54,54,19,epsilon,0.00256,0,0,15.435,
570,12,7,12,7,0,6265.12,21895.6,306,47,47,19,epsilon,0.00253,0,0,11.034,
571,16,8,16,8,0,5746.99,20540.0,262,47,47,14,certificate,0.00000,0,0,15.625,
572,13,7,13,7,0,7463.86,26754.3,342,67,67,19,epsilon,0.00256,0,0,62.555,
573,11,9,11,9,0,6628.48,23582.4,310,39,39,19,epsilon,0.00253,0,0,8.906,
574,10,5,10,5,0,6961.26,24751.3,328,51,51,19,epsilon,0.00253,0,0,18.377,
575,13,6,13,6,0,6161.97,22254.8,276,42,42,19,epsilon,0.00253,0,0,18.914,
576,10,5,10,5,0,7172.77,25158.8,349,54,54,19,epsilon,0.00253,0,0,39.951,
577,16,9,16,9,0,6614.32,24311.6,281,61,61,18,certificate,0.00000,0,0,41.585,
578,14,9,14,9,0,7143.70,26568.5,295,49,49,19,epsilon,0.00248,5,0,13.338,
579,16,4,16,4,0,7964.49,28527.4,364,80,80,15,certificate,0.00000,0,0,115.916,
580,16,7,16,7,0,8914.28,32921.4,380,90,90,16,certificate,0.00000,12,0,82.734,
581,13,8,13,8,0,6221.85,22124.2,289,41,41,19,epsilon,0.00256,0,0,6.774,
582,13,3,13,3,0,6204.31,22111.5,287,45,45,19,epsilon,0.00250,0,0,16.053,
583,13,6,13,6,0,6017.31,21196.5,286,43,43,19,epsilon,0.00245,1,0,11.738,
584,14,6,14,6,0,6641.19,23180.9,323,58,58,19,epsilon,0.00244,0,0,49.786,
585,10,2,10,2,0,5702.87,19509.3,292,34,34,19,epsilon,0.00256,0,0,11.126,
586,16,8,16,8,0,6702.65,24998.3,275,75,75,15,certificate,0.00000,0,0,57.435,
587,15,7,15,7,0,5785.27,19991.4,286,44,44,19,epsilon,0.00246,0,0,17.198,
588,16,7,16,7,0,6315.95,21999.8,309,56,56,15,certificate,0.00000,6,0,27.588,
589,12,9,12,9,0,7087.64,25753.2,314,52,52,19,epsilon,0.00249,0,0,16.740,
590,12,7,12,7,0,6434.49,22927.4,299,41,41,19,epsilon,0.00256,0,0,12.229,
591,13,4,13,4,0,6580.40,24107.0,284,48,48,19,epsilon,0.00252,0,0,19.684,
592,13,8,13,8,0,6646.23,23681.1,308,45,45,19,epsilon,0.00255,0,0,12.924,
593,12,5,12,5,0,6808.90,23959.5,329,56,56,19,epsilon,0.00249,0,0,19.778,
594,11,6,11,6,0,6446.61,22458.0,317,53,53,19,epsilon,0.00253,0,0,18.967,
595,13,7,13,7,0,6705.87,24259.3,299,47,47,19,epsilon,0.00256,0,0,13.090,
