trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
712,11,11,0,3219.8505,11469.2523,146,22,0.448274,7,2,certificate
713,11,11,0,3667.6424,13658.2120,147,21,0.498969,7,2,certificate
714,13,13,0,3222.6731,11333.3654,149,21,0.629952,7,2,certificate
715,12,12,0,3341.4017,12137.0085,143,22,0.479600,7,2,certificate
716,10,10,0,3308.3616,11721.8079,153,22,0.640566,7,2,certificate
717,15,15,0,3904.7307,14913.6535,142,25,0.632263,7,2,certificate
718,12,12,0,4152.1584,16405.7918,136,25,0.481371,7,2,certificate
719,10,10,0,3280.8596,11514.2982,155,20,0.413718,7,2,certificate
720,14,14,0,4088.7216,15873.6082,141,23,0.512073,7,2,certificate
721,11,11,0,3076.8236,11234.1182,130,19,0.474899,7,2,certificate
722,12,12,0,3995.9224,15514.6118,139,22,0.543557,7,2,certificate
723,13,13,0,3507.3829,13046.9143,139,20,0.349802,7,2,certificate
724,13,13,0,3050.4212,10687.1059,142,23,0.546409,7,2,certificate
725,15,15,0,3726.8226,14044.1128,141,25,0.475557,7,2,certificate
726,11,11,0,3359.2626,12481.3131,135,19,0.412311,7,2,certificate
727,12,12,0,3071.8237,10884.1184,139,21,0.953592,7,2,certificate
728,16,16,0,3981.5603,15462.8014,135,26,0.626637,7,2,certificate
729,13,13,0,4439.5545,16622.7724,175,25,0.427323,7,3,certificate
730,12,12,0,3184.1034,11270.5171,146,22,0.472658,7,2,certificate
731,13,13,0,3522.2406,13031.2032,142,21,0.384345,7,2,certificate
732,16,16,0,3887.7182,14818.5909,141,23,0.485260,7,2,certificate
733,10,10,0,3023.8793,10544.3963,145,19,0.614168,7,2,certificate
734,11,11,0,3504.4151,13502.0756,125,20,0.486374,7,2,certificate
735,10,10,0,3276.0696,11920.3481,141,19,0.400770,7,4,certificate
736,15,15,0,4036.9541,15759.7706,136,26,0.977048,7,2,certificate
737,14,14,0,4277.4908,15562.4540,183,27,0.548724,7,2,certificate
738,13,13,0,4079.3051,15561.5254,151,27,0.507585,7,2,certificate
739,16,16,0,3666.9320,13579.6598,146,28,0.923438,7,2,certificate
740,14,14,0,4368.9730,17234.8651,143,27,0.629516,7,2,certificate
741,11,11,0,3331.9728,12104.8638,143,22,0.457904,7,4,certificate
742,13,13,0,3626.4749,13817.3746,133,20,0.435964,7,2,certificate
743,12,12,0,3603.8827,13684.4137,135,24,0.692512,7,2,certificate
744,14,14,0,3666.0451,13370.2253,154,22,0.374681,7,2,certificate
745,16,16,0,4689.0823,17970.4116,171,29,0.344902,7,3,certificate
746,12,12,0,3465.6811,12958.4057,136,20,0.426752,7,2,certificate
747,10,10,0,3434.5994,12817.9971,137,23,0.606680,7,2,certificate
748,11,11,0,3289.3806,12221.9031,132,18,0.461138,7,3,certificate
749,14,14,0,3427.7310,12538.6552,142,23,0.540558,7,2,certificate
750,15,15,0,4230.9264,16504.6319,143,25,0.535605,7,2,certificate
751,12,12,0,3129.6909,11063.4547,143,19,0.722565,7,2,certificate
752,10,10,0,3439.0671,13295.3355,122,18,0.500854,7,2,certificate
753,14,14,0,3562.6718,13638.3592,128,25,0.600022,7,3,certificate
754,13,13,0,4716.3333,18566.6666,157,26,0.602466,7,2,certificate
755,11,11,0,3378.8925,12434.4625,140,19,0.386955,7,2,certificate
756,12,12,0,3435.1747,12875.8734,134,20,0.503666,7,2,certificate
757,10,10,0,3148.8500,10984.2499,151,22,0.474098,7,2,certificate
758,11,11,0,3778.7549,14498.7744,138,21,0.426103,7,3,certificate
759,13,13,0,4086.8343,15644.1714,149,24,0.518614,7,2,certificate
760,10,10,0,3727.3732,14566.8661,128,23,0.750685,7,2,certificate
761,11,11,0,3408.1810,12785.9052,133,22,0.539398,7,2,certificate
762,11,11,0,3687.6504,13813.2518,146,21,0.405287,7,2,certificate
763,13,13,0,3160.9405,11094.7027,146,22,0.472089,7,2,certificate
764,11,11,0,3215.7405,11818.7026,133,20,0.651853,7,2,certificate
